s,p,o
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#PlaysSports,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#ObjectProperty
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#hasPM,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#ObjectProperty
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Cities2,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Cities2,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Cities
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Cities2,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Name,Beijing
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Amount,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#DatatypeProperty
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Amount,http://www.w3.org/2000/01/rdf-schema#domain,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#GDP
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Amount,http://www.w3.org/2000/01/rdf-schema#range,http://www.w3.org/2001/XMLSchema#string
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Money3,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Money3,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Money
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Money3,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Name,Iraqi dinar
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Language6,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Language6,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Language
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Language6,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Name,Korean
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#ExportItem,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#ExportItem,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Thing
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#PM1,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#PM1,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#PM
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#PM1,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#First_name,Narendra
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#PM1,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Last_name,Modi
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#ImportItem1,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#ImportItem1,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#ImportItem
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Occupation10,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Occupation10,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Occupation
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Government8,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Government8,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Government
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Government8,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Name,Presidential system
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Occupation1,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Occupation1,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Occupation
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Occupation1,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Name,Agriculture
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Pakistan,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Pakistan,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Country
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#GDP4,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#GDP4,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#GDP
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#GDP4,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Amount,"38,633.71 USD"
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#MemberOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#ObjectProperty
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Government2,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Government2,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Government
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Government2,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Name,Communist state
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#ExportItem8,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#ExportItem8,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#ExportItem
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#ExportItem8,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Name,Semiconductors
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Cities7,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Cities7,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Cities
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Cities7,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Name,Islamabad
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Money8,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Money8,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Money
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Money8,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Name,South Korean won
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#First_name,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#DatatypeProperty
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#First_name,http://www.w3.org/2000/01/rdf-schema#domain,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Person
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#First_name,http://www.w3.org/2000/01/rdf-schema#range,http://www.w3.org/2001/XMLSchema#string
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#imports,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#ObjectProperty
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#PM6,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#PM6,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#PM
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#PM6,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#First_name,Kim
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#PM6,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Last_name,Jong-un
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#ImportItem6,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#ImportItem6,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#ImportItem
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Cities1,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Cities1,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Cities
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Cities1,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Name,New Delhi
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Religion5,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Religion5,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Religion
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Religion5,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Name,Confucianism
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#ExportItem2,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#ExportItem2,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#ExportItem
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#ExportItem2,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Name,Electronic Equipments
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Occupation6,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Occupation6,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Occupation
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Thailand,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Thailand,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Country
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Money2,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Money2,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Money
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Money2,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Name,Renminbi
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#PM,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#PM,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Person
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Language5,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Language5,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Language
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Language5,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Name,Nepali
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#GDP9,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#GDP9,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#GDP
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#GDP9,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Amount,"3,279.89 USD"
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Cities,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Cities,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Thing
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Government7,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Government7,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Government
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Government7,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Name,Islamic republic
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#GDP10,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#GDP10,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#GDP
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#GDP10,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Amount,"5,778.98 USD"
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#religion,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#ObjectProperty
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Mountains,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Mountains,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Thing
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#GDP3,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#GDP3,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#GDP
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#GDP3,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Amount,"6,862.50 USD"
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Government1,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Government1,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Government
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Government1,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Name,Parliamentary system
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#ExportItem7,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#ExportItem7,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#ExportItem
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#ExportItem7,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Name,Cotton
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Cities6,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Cities6,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Cities
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Cities6,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Name,Pyongyang
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Government,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Government,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Thing
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Money7,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Money7,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Money
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Money7,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Name,Pakistani rupee
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#India,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#India,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Country
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#PM5,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#PM5,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#PM
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#PM5,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#First_name,Pushpa
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#PM5,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Last_name,Kamal Dahal
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#ImportItem5,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#ImportItem5,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#ImportItem
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#ExportItem1,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#ExportItem1,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#ExportItem
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#ExportItem1,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Name,Petroleum products
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Religion4,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Religion4,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Religion
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Religion4,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Name,Shinto
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Occupation5,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Occupation5,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Occupation
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Money1,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Money1,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Money
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Money1,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Name,Indian rupee
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Language4,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Language4,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Language
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Language4,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Name,Japanese
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Rulers,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
